;Company;Printer manufacturer;Printer model;Process;Material;Number of printers;Count type;Country;State / province;Website
;Azoth 3D;Desktop Metal;;MEX;Metal;1;Minimum;United States;MI;https://azoth3d.com
;Azoth 3D;;;PBF-LB;Polymer;1;Minimum;United States;MI;https://azoth3d.com
;Azoth 3D;;;VPP;Polymer;1;Minimum;United States;MI;https://azoth3d.com
;B-jetting;;;BJT;;5;Minimum;United States;PA;https://b-jetting.com
;B-jetting;;;MEX;Polymer;6;Minimum;United States;PA;https://b-jetting.com
;Baker Industries, Inc.;;;wDED-Arc;Metal;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Baker Industries, Inc.;;;PBF-LB;Metal;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Baker Industries, Inc.;;;BJT;Metal;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Baker Industries, Inc.;;;MEX;Polymer;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Baker Industries, Inc.;;;PBF-IR;Polymer;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Baker Industries, Inc.;;;VPP;Polymer;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Baker Industries, Inc.;;;MJT;Polymer;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Baker Industries, Inc.;;;VPP;Polymer;1;Minimum;United States;MI;https://bakerindustriesinc.com
;Barron Industries;;;VPP;Polymer;1;Minimum;United States;MI;https://barron-industries.com
;Bastech;;;MJT;Polymer;7;Minimum;United States;OH;https://bastech.com
;Bastech;;;PBF-LB;Metal;1;Minimum;United States;OH;https://bastech.com
;Bastech;;;VPP;Polymer;4;Minimum;United States;OH;https://bastech.com
;Bastech;;;MEX;Polymer;1;Minimum;United States;OH;https://bastech.com
;Beckatt Solutions;;;MEX;Polymer;1;Minimum;United States;IL;https://beckatt.com
;Beehive Industries;Colibrium Additive;X Line 2000;PBF-LB;Metal;1;Actual;United States;CO;https://www.beehive-industries.com/
;Beehive Industries;Colibrium Additive;X Line 1000;PBF-LB;Metal;1;Actual;United States;CO;https://www.beehive-industries.com/
;Beehive Industries;EOS;M290;PBF-LB;Metal;4;Actual;United States;CO;https://www.beehive-industries.com/
;Beehive Industries;EOS;M400-4;PBF-LB;Metal;1;Actual;United States;CO;https://www.beehive-industries.com/
;Beehive Industries;In-house;;BJT;Ceramic;2;Actual;United States;CO;https://www.beehive-industries.com/
;Beehive Industries;Nikon SLM;SLM 500;PBF-LB;Metal;1;Actual;United States;CO;https://www.beehive-industries.com/
;Beehive Industries;Nikon SLM;SLM 280;PBF-LB;Metal;1;Actual;United States;CO;https://www.beehive-industries.com/
;Big Tech;Union Tech;LITE600HD;VPP;Polymer;1;Actual;United states;NY;https://prtwd.com
;Big Tech;Proprietary;SLA-Pro 600;VPP;Polymer;1;Actual;United states;NY;https://prtwd.com
;Big Tech;Asiga;Pro 4k;VPP;Polymer;1;Actual;United states;NY;https://prtwd.com
;Big Tech;;;VPP;Polymer;2;Actual;United states;NY;https://prtwd.com
;Big Tech;Formlabs;Form 3;VPP;Polymer;3;Actual;United states;NY;https://prtwd.com
;Big Tech;Formlabs;Form 3;VPP;Polymer;3;Actual;United states;NY;https://prtwd.com
;Black Buffalo;;;MEX;Cement-based;1;Minimum;United States;NJ;https://blackbuffalo.io
;Bluedge;;;MEX;Polymer;1;Minimum;United States;MA;https://bluedge.com
;Branch Technology;;;MEX;Polymer;1;Minimum;United States;TN;https://branchtechnology.com
;Build Parts (by CIDEAS Inc.);;;VPP;Polymer;4;Minimum;United States;IL;https://buildparts.com
;Build Parts (by CIDEAS Inc.);;;PBF-LB;Polymer;2;Minimum;United States;IL;https://buildparts.com
;Build Parts (by CIDEAS Inc.);;;MJT;Polymer;3;Minimum;United States;IL;https://buildparts.com
;Build Parts (by CIDEAS Inc.);;;MEX;Polymer;13;Minimum;United States;IL;https://buildparts.com
;Burloak;Colibrium Additive;Arcam A2X;PBF-EB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Colibrium Additive;Arcam Q20+;PBF-EB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;M100;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;M290;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;M400-4;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;EOS;P396;PBF-LB;Polymer;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Essentium;HSE-180-HT;MEX;Polymer;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Nikon SLM;SLM 280;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Optomec;;pDED-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;Renishaw;AM500Q;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;TRUMPF;Truprint 1000;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burloak;TRUMPF;Truprint 2000;PBF-LB;Metal;1;Minimum;Canada;ON;https://www.burloaktech.com/
;Burton Precision;Intamsys;310;MEX;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Intamsys;410;MEX;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Intamsys;610;MEX;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Sinterit;SUZY;PBF-LB;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Burton Precision;Sinterit;Lisa X;PBF-LB;Polymer;1;Minimum;United States;MI;https://burtonprecision.com
;Catalysis Additive Tooling;HP;;PBF-IR;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;Formlabs;;VPP;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;Formlabs;;PBF-LB;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;ExOne;;BJT;Polymer;1;Minimum;United states;OH;https://catalysis3d.com
;Catalysis Additive Tooling;;;PBF-LB;Metal;1;Minimum;United states;OH;https://catalysis3d.com
;Caterpillar Inc.;;;PBF-LB;Polymer;1;Minimum;United States;TX;https://www.cat.com/global-selector.html
;Caterpillar Inc.;;;VPP;Polymer;2;Minimum;United States;TX;https://www.cat.com/global-selector.html
;Caterpillar Inc.;;;PBF-LB;Metal;1;Minimum;United States;TX;https://www.cat.com/global-selector.html
;Caterpillar Inc.;;;MEX;Polymer;2;Minimum;United States;TX;https://www.cat.com/global-selector.html
