Company name,Segment,Printer manufacturer,Printer model,Number of printers,Count type,Process,Material type,Material format,Country,Update year
AdvancedTek,Printing services,Stratasys,NEO 450 SL,1,Actual,VPP,Polymer,,United States,2023
AdvancedTek,Printing services,Stratasys,,8,Actual,MEX,,,United States,2022
AdvancedTek,Printing services,Stratasys,,3,Actual,MJT,,,United States,2022
AdvancedTek,Printing services,Stratasys,SAF H350,1,Actual,PBF-IR,,,United States,2022
AdvancedTek,Printing services,Stratasys,Origin P3,1,Actual,VPP,Polymer,,United States,2022
AdvancedTek,Printing services,Stratasys,NEO 450 SL,1,Actual,VPP,Polymer,,United States,2022
Advantage Prototype Systems (APS3D),Printing services,Bambu Lab,X1C,4,Actual,MEX,Polymer,,United States,2024
Advantage Prototype Systems (APS3D),Printing services,3D Systems,iPro 8000,2,Actual,VPP,Polymer,,United States,2024
Advantage Prototype Systems (APS3D),Printing services,3D Systems,SLA 5000,2,Actual,VPP,Polymer,,United States,2024
Advantage Prototype Systems (APS3D),Printing services,Modix,Big Meter,2,Actual,MEX,Polymer,,United States,2024
Advantage Prototype Systems (APS3D),Printing services,UnionTech,RSPro800,1,Actual,VPP,Polymer,,United States,2024
Advantage Prototype Systems (APS3D),Printing services,3D Systems,,3,Actual,VPP,Polymer,,South Africa,2023
Advantage Prototype Systems (APS3D),Printing services,XYZ,MfgPro236 xS,1,Actual,PBF,Polymer,,South Africa,2023
Advantage Prototype Systems (APS3D),Printing services,UnionTech,RSPro800,1,Actual,VPP,Polymer,,United States,2023
Aerodine Composites Group,Printing services,Stratasys,Fortus 400mc,,,,,,United States,2025
HH Industries,Printing services,Colibrium Additive,MLab 200R,3,Actual,PBF-LB,Metal,,United States,2024
HH Industries,Printing services,EOS,P110 Velocis,3,Actual,PBF-LB,Polymer,,Canada,2024
AES – Additive Engineering Solutions,Printing services,CEAD,Flexbot,1,Actual,,,,Canada,2023
AES – Additive Engineering Solutions,Printing services,Cincinnati BAAM,,4,Actual,,,,Canada,2023
AES – Additive Engineering Solutions,Printing services,Cincinnati BAAM,,4,Actual,,,,Canada,2022
Agile Manufacturing,Printing services,3D Systems,ProX 800,7,Actual,PBF-LB,Metal,,Canada,2024
Agile Manufacturing,Printing services,Stratasys,400mc,7,Actual,MEX,Polymer,,Canada,2024
Agile Manufacturing,Printing services,3D Systems,Projet 7000,6,Actual,VPP,Polymer,,Canada,2024
Agile Manufacturing,Printing services,3D Systems,Projet 2500,4,Actual,VPP,Polymer,,Canada,2024
Agile Manufacturing,Printing services,Markforged,Mark Two,4,Actual,MEX,Polymer,,Canada,2024
Agile Manufacturing,Printing services,3D Systems,sPro 60 HD-HS,3,Actual,PBF-LB,Polymer,,Canada,2024
Agile Manufacturing,Printing services,3D Systems,Figure 4,3,Actual,VPP,Polymer,,Canada,2024
Agile Manufacturing,Printing services,Stratasys,900mc,3,Actual,MEX,Polymer,,Canada,2024
Agile Manufacturing,Printing services,Lynxter,S300 Liq,1,Actual,MEX,Polymer,,Canada,2024
Agile Manufacturing,Printing services,3D Systems,,3,Actual,MJT,Polymer,,Canada,2023
Agile Manufacturing,Printing services,3D Systems,,2,Actual,PBF,Polymer,,Canada,2023
Agile Manufacturing,Printing services,3D Systems,,11,Actual,VPP,Polymer,,Canada,2023
Agile Manufacturing,Printing services,Carbon,,1,Actual,VPP,,,Canada,2023
Agile Manufacturing,Printing services,Lynxster,,1,Actual,,,,Canada,2023
Agile Manufacturing,Printing services,Markforged,,3,Actual,MEX,,,Canada,2023
Agile Manufacturing,Printing services,Stratasys,,8,Actual,MEX,,,Canada,2023
Agile Manufacturing,Printing services,3D Systems,,4,Actual,MJT,Polymer,,Canada,2022
Agile Manufacturing,Printing services,3D Systems,,2,Actual,PBF,Polymer,,Canada,2022
Agile Manufacturing,Printing services,3D Systems,,9,Actual,VPP,Polymer,,Canada,2022
Agile Manufacturing,Printing services,3D Systems,Figure 4,3,Actual,VPP,Polymer,,United States,2022
Agile Manufacturing,Printing services,Carbon,,1,Actual,VPP,,,United States,2022
Agile Manufacturing,Printing services,Markforged,,3,Actual,MEX,,,United States,2022
Agile Manufacturing,Printing services,Stratasys,,8,Actual,MEX,,,United States,2022
Agile Space Industries – Agile Additive,Printing services,Trumpf,TruPrint 1000,2,Actual,PBF-LB,Metal,,United States,2025
Agile Space Industries – Agile Additive,Printing services,Trumpf,TruPrint 2000,2,Actual,PBF-LB,Metal,,United States,2025
